1. (Washing Machine, is_next_to, Dryer)
2. (Storage Cabinets, are_above, Washing Machine)
3. (Desk, extends_from, Washing Machine)
4. (Chair, is_in_front_of, Desk)
5. (Coffee Table, is_in_front_of, Sofa)
6. (Sofa, is_to_the_right_of, Coffee Table)
7. (Rug, is_under, Coffee Table)
8. (Rug, is_under, Sofa)
9. (Lamp, is_on, Desk)
10. (Small Plant, is_on, Coffee Table)
11. (Large Plant, is_on, Desk)
12. (Decorative Items, are_on, Coffee Table)
13. (Art Piece, is_hanging_above, Storage Cabinets)
14. (Washing Machine, has_color, White)
15. (Dryer, has_color, White)
16. (Storage Cabinets, have_color, White)
17. (Desk, has_color, White)
18. (Chair, has_color, Black)
19. (Coffee Table, has_shape, Circular)
20. (Sofa, has_color, White)
21. (Rug, has_color, Green)
22. (Lamp, has_color, Black)
23. (Decorative Items, have_color, Mixed)
24. (Washing Machine, is_used_for, Laundry)
25. (Dryer, is_used_for, Laundry)
26. (Storage Cabinets, are_used_for, Storage)
27. (Desk, is_used_for, Workspace)
28. (Chair, is_used_for, Seating)
29. (Coffee Table, is_used_for, Holding_items)
30. (Sofa, is_used_for, Relaxation)
31. (Rug, is_used_for, Adding_warmth)
32. (Plants, are_used_for, Aesthetics)
33. (Lamp, is_used_for, Lighting)
34. (Decorative Items, are_used_for, Decoration)
35. (Washing Machine, has_shape, Rectangular)
36. (Dryer, has_shape, Rectangular)
37. (Storage Cabinets, have_shape, Rectangular)
38. (Desk, has_shape, Long_and_Rectangular)
39. (Chair, has_shape, Ergonomic)
40. (Coffee Table, has_shape, Circular)
41. (Sofa, has_shape, Rectangular)
42. (Rug, has_shape, Rectangular)
43. (Small Plant, has_shape, Round)
44. (Large Plant, has_shape, Cylindrical)
45. (Lamp, has_shape, Tall)
46. (Distance_between_Washing_Machine_and_Dryer, is_short, True)
47. (Distance_between_Desk_and_Chair, is_near, True)
48. (Distance_between_Coffee_Table_and_Sofa, is_near, True)
49. (Size_of_Coffee_Table, is_medium, True)
50. (Size_of_Sofa, is_large, True)
51. (Size_of_Rug, is_large, True)
